Roll No,Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Extracurricular,MSE s1,MSE s2,MSE s3,MSE s4,MSE s5,CGPA,Grade
1053,20,1,1,9.986918727,22,0,4,0,0,24,17,17,17,19,8.118715544,A
1054,20,0,2,7.64905199,13,0,1,0,0,22,16,16,16,9,7.678958804,B
1055,20,0,0,7.271884355,29,1,2,1,1,22,16,16,16,13,7.383072472,B
1056,20,0,1,7.840922335,25,0,2,0,0,22,16,16,16,8,7.499386937,B
1057,20,1,4,9.816950576,20,0,2,0,0,23,17,17,17,18,8.135870322,A
1058,20,0,4,10.07351158,29,0,3,1,1,24,17,17,17,14,8.028818984,A
1059,20,0,1,9.697749837,9,1,3,0,0,23,17,17,17,17,8.385194582,A
1060,20,1,0,7.20005907,23,0,3,0,0,22,16,16,16,6,7.382815216,B
1061,20,1,1,9.99142666,10,0,0,1,1,24,17,17,17,16,8.353342726,A
1062,20,0,1,8.244526758,12,0,2,0,0,22,16,16,16,17,7.830712448,B
1063,20,0,3,6.864367636,11,0,3,0,0,21,16,16,16,4,7.529862007,B
1064,20,0,1,8.307979136,8,0,2,0,0,22,16,16,16,7,7.956869751,B
1065,20,0,2,6.986897232,3,1,4,0,0,21,16,16,16,16,7.757550279,B
1066,20,0,1,8.646259737,6,1,3,1,1,23,16,16,16,19,8.172367289,A
1067,20,0,4,7.961846758,23,0,3,0,0,22,16,16,16,19,7.604928642,B
1068,20,1,1,8.411449779,28,0,0,0,0,22,16,16,16,18,7.58139596,B
1069,20,1,2,8.877234536,21,1,3,0,0,23,16,16,16,14,7.872495745,B
1070,20,1,1,9.729336986,1,0,4,0,0,23,17,17,17,16,8.463470772,A
1071,20,0,2,9.039671922,6,0,2,1,1,23,16,16,16,20,8.213146704,A
1072,20,1,1,8.280162895,28,0,3,0,0,22,16,16,16,8,7.515097671,B
1073,20,0,1,9.564759512,8,0,2,1,1,23,17,17,17,19,8.362413317,A
1074,20,0,3,9.851940459,4,1,2,0,0,23,17,17,17,12,8.452166951,A
1075,20,1,3,7.232533221,14,0,3,1,1,22,16,16,16,11,7.580775311,B
1076,20,0,3,8.606443259,17,0,3,0,0,23,16,16,16,10,7.874605886,B
1077,20,0,2,7.781706532,3,0,3,0,0,22,16,16,16,6,7.881664736,B
1078,20,1,3,6.990203993,18,1,1,1,1,21,16,16,16,7,7.503568233,B
1079,20,1,0,9.061822317,19,0,1,0,0,23,16,16,16,16,7.888926844,B
1080,20,1,1,9.709235925,25,0,3,0,0,23,17,17,17,17,8.018862653,A
1081,20,0,1,7.376342182,6,0,1,0,0,22,16,16,16,20,7.770441708,B
1082,20,1,2,9.541378859,25,0,2,0,0,23,17,17,17,17,7.913149794,B
1083,20,1,1,9.677985778,7,0,0,1,1,23,17,17,17,10,8.368517665,A
1084,20,0,1,9.881134809,16,0,1,0,0,23,17,17,17,14,8.211716032,A
1085,20,1,2,7.717616964,12,0,3,1,1,22,16,16,16,12,7.797565619,B
1086,20,1,3,9.846510217,23,0,3,0,0,23,17,17,17,17,8.044113443,A
1087,20,1,1,7.902209182,20,1,1,1,1,22,16,16,16,17,7.670442305,B
1088,20,0,1,8.674460045,27,0,1,0,0,23,16,16,16,8,7.613560465,B
1089,20,0,1,7.001691569,22,0,0,1,1,21,16,16,16,16,7.332203354,B
1090,20,0,1,6.979603628,10,0,2,0,0,21,16,16,16,13,7.534983736,B
1091,20,0,1,9.234577376,26,0,1,0,0,23,17,17,17,13,7.793711746,B
1092,20,1,2,8.31493326,0,0,2,1,1,22,16,16,16,11,8.176304454,A
1093,20,0,2,7.687641251,1,1,3,0,0,22,16,16,16,15,7.965359829,B
1094,20,0,2,7.468044987,16,1,3,0,0,22,16,16,16,5,7.639493979,B
1095,20,1,1,9.066511636,4,0,1,1,1,23,16,16,16,9,8.275467389,A
1096,20,1,3,6.834671813,29,0,3,0,0,21,16,16,16,11,7.127017162,B
1097,20,1,1,9.519637231,29,0,4,0,0,23,17,17,17,12,7.842730441,B
1098,20,0,2,7.097498687,5,0,2,0,0,21,16,16,16,8,7.705112232,B
1099,20,0,3,7.47163205,25,0,2,1,1,22,16,16,16,8,7.404317426,B
1100,20,0,1,8.120787984,24,0,2,0,0,22,16,16,16,16,7.557390666,B
1101,20,1,1,8.449529132,23,1,1,1,1,22,16,16,16,15,7.797476826,B
1102,20,1,3,8.016650386,6,0,3,1,1,22,16,16,16,7,7.934281646,B
1103,20,0,1,7.902373883,27,0,3,1,1,22,16,16,16,11,7.543795816,B
1104,20,1,2,10.04638671,20,1,2,0,0,24,17,17,17,15,8.240935999,A
1105,20,1,0,8.971932271,29,0,3,1,1,23,16,16,16,15,7.739230136,B
1106,20,1,2,6.911443185,14,0,3,0,0,21,16,16,16,9,7.492114396,B
1107,20,0,1,8.267253028,18,0,0,1,1,22,16,16,16,8,7.72382973,B
1108,20,1,0,9.750028999,15,0,1,0,0,23,17,17,17,17,8.203919914,A
1109,20,1,2,7.838187288,24,1,3,1,1,22,16,16,16,7,7.629138387,B
1110,20,0,1,7.148521149,12,1,4,0,0,22,16,16,16,20,7.629558486,B
1111,20,0,1,9.361282572,4,1,3,0,0,23,17,17,17,19,8.352352755,A
1112,20,1,0,8.85337944,2,1,4,0,0,23,16,16,16,9,8.248010082,A
1113,20,1,1,8.734375026,2,0,2,0,0,23,16,16,16,8,8.140373773,A
1114,21,0,1,7.011921865,18,1,1,0,0,21,16,16,16,10,7.465159248,B
1115,20,0,0,7.301663366,13,1,2,0,0,22,16,16,16,5,7.594027622,B
1116,20,1,3,8.908497987,15,0,0,0,0,23,16,16,16,20,7.924777492,B
1117,20,1,0,7.526079472,21,0,3,1,1,22,16,16,16,16,7.526656507,B
1118,20,1,2,8.513566932,16,0,4,0,0,23,16,16,16,20,7.853151506,B
1119,20,1,1,8.64960562,26,0,3,0,0,23,16,16,16,16,7.718117536,B
1120,20,0,1,7.778357301,3,0,2,1,1,22,16,16,16,13,7.932302516,B
1121,20,1,3,9.994750518,12,1,1,1,1,24,17,17,17,14,8.422787304,A
1122,20,1,1,9.641547023,7,1,1,0,0,23,17,17,17,12,8.375636929,A
1123,20,0,4,9.241245025,18,0,2,0,0,23,17,17,17,10,7.9615727,B
1124,20,1,1,7.093312888,4,0,3,0,0,21,16,16,16,5,7.680490202,B
1125,20,0,2,7.187100064,1,1,2,1,1,22,16,16,16,7,7.858001292,B
1126,20,1,2,8.47593782,14,0,4,1,1,22,16,16,16,7,7.905375437,B
1127,20,1,3,7.369044497,1,0,3,1,1,22,16,16,16,9,7.871340781,B
1128,20,0,2,10.09421821,10,1,1,0,0,24,17,17,17,11,8.432305222,A
1129,20,0,2,7.361734113,12,1,1,1,1,22,16,16,16,10,7.726947697,B
1130,20,1,1,8.458226118,22,1,3,0,0,22,16,16,16,19,7.75267132,B
1131,20,1,1,8.047070189,9,0,1,0,0,22,16,16,16,10,7.813246206,B
1132,20,1,3,8.964621405,2,0,3,0,0,23,16,16,16,19,8.234148039,A
1133,20,0,1,7.263454696,4,1,2,0,0,22,16,16,16,11,7.825791242,B
1134,20,1,1,8.267721427,2,0,1,1,1,22,16,16,16,9,8.057739203,A
1135,20,0,2,7.749016776,5,1,2,1,1,22,16,16,16,14,7.936838026,B
1136,20,0,1,9.792505082,12,0,2,1,1,23,17,17,17,11,8.275221557,A
1137,20,1,4,6.96861904,9,0,3,0,0,21,16,16,16,11,7.610611436,B
1138,20,0,2,9.879091647,18,0,0,1,1,23,17,17,17,10,8.150778932,A
1139,20,1,2,9.609980462,7,0,3,1,1,23,17,17,17,11,8.340510483,A
1140,20,1,3,7.825235721,17,1,3,0,0,22,16,16,16,18,7.687493045,B
1141,20,1,0,9.464302182,2,0,3,1,1,23,17,17,17,13,8.406785073,A
1142,20,1,1,6.937378534,23,1,0,1,1,21,16,16,16,8,7.379691152,B
1143,20,1,2,10.0562185,23,1,3,0,0,24,17,17,17,17,8.150100414,A
1144,20,0,1,8.588649809,16,0,2,1,1,23,16,16,16,13,7.883480724,B
1145,20,0,2,7.844270087,7,1,2,1,1,22,16,16,16,14,7.971448777,B
1146,20,1,3,8.041944042,9,0,3,1,1,22,16,16,16,11,7.888926539,B
1147,20,1,2,7.054684512,1,1,2,1,1,21,16,16,16,13,7.83391244,B
1148,20,0,1,10.13116505,11,0,3,0,0,24,17,17,17,14,8.402861201,A
1149,20,0,4,6.964306484,22,0,1,1,1,21,16,16,16,13,7.379078996,B
1150,20,0,2,9.016357077,5,0,3,1,1,23,16,16,16,18,8.235600122,A
1151,20,0,2,8.309119759,1,0,1,0,0,22,16,16,16,7,8.08435228,A
1152,20,1,1,9.996387394,20,1,3,0,0,24,17,17,17,11,8.232564254,A
1153,20,1,3,7.653332468,22,0,4,1,1,22,16,16,16,8,7.535960763,B
1154,20,0,2,8.60695608,23,0,2,0,0,23,16,16,16,20,7.712504572,B
1155,20,1,2,8.441187362,2,0,2,1,1,22,16,16,16,16,8.128896001,A
1156,20,0,3,9.17622148,16,1,3,1,1,23,16,16,16,11,8.143244252,A
1157,20,1,1,7.060034107,28,0,0,0,0,21,16,16,16,19,7.233489632,B
1158,20,0,2,7.4792971,6,0,2,0,0,22,16,16,16,13,7.745446261,B
1159,20,1,3,7.5485494,28,0,2,0,0,22,16,16,16,15,7.328252242,B
1160,20,0,1,9.293835849,20,0,3,0,0,23,17,17,17,18,7.963700488,B
1161,20,0,2,7.463795654,4,1,3,1,1,22,16,16,16,19,7.905866704,B
1162,20,1,3,8.744972546,22,1,3,0,0,23,16,16,16,20,7.83049087,B
1163,20,0,2,7.550812735,0,1,3,0,0,22,16,16,16,18,7.956090467,B
1164,20,1,2,9.7054165,7,0,3,1,1,23,17,17,17,16,8.375079387,A
1165,20,1,3,9.973951515,11,1,2,1,1,24,17,17,17,15,8.401888397,A
1166,20,0,3,8.56164325,13,0,2,0,0,23,16,16,16,17,7.944394864,B
1167,20,1,1,8.007696281,15,1,2,1,1,22,16,16,16,20,7.865876516,B
1168,20,1,0,7.613525917,9,0,4,0,0,22,16,16,16,13,7.79513525,B
1169,20,1,2,6.999270005,14,0,3,1,1,21,16,16,16,10,7.516724395,B
1170,20,1,2,7.728333587,20,0,2,0,0,22,16,16,16,18,7.590180045,B
1171,20,1,2,9.014119266,23,0,3,0,0,23,16,16,16,13,7.865824024,B
1172,20,0,2,8.612056438,25,0,2,1,1,23,16,16,16,10,7.70390649,B
1173,20,1,1,9.980137594,14,1,3,0,0,24,17,17,17,19,8.314114265,A
1174,20,1,2,8.154257542,9,0,2,0,0,22,16,16,16,15,7.91334035,B
1175,20,1,1,9.146211141,20,1,1,1,1,23,16,16,16,14,7.986696215,B
1176,20,1,2,8.464409158,27,0,3,1,1,22,16,16,16,13,7.642485295,B
1177,20,1,2,8.54192072,6,0,3,0,0,23,16,16,16,15,8.037506416,A
1178,20,0,1,7.725914382,25,1,2,1,1,22,16,16,16,18,7.539779471,B
1179,20,1,1,8.349835923,2,0,2,1,1,22,16,16,16,8,8.08937863,A
1180,20,0,2,8.402616657,1,0,3,1,1,22,16,16,16,10,8.139421975,A
1181,20,0,2,9.188808406,5,1,3,0,0,23,16,16,16,18,8.279995721,A
1182,20,0,1,9.968799997,20,0,3,1,1,24,17,17,17,17,8.187462198,A
1183,20,0,4,7.931070925,8,0,2,1,1,22,16,16,16,9,7.913839093,B
1184,20,1,2,6.974001562,9,1,4,1,1,21,16,16,16,4,7.710497104,B
1185,20,0,4,8.487650418,3,0,3,0,0,22,16,16,16,19,8.089401822,A
1186,20,0,2,8.64820444,26,1,3,1,1,23,16,16,16,9,7.753756819,B
1187,20,1,2,7.394801837,2,0,3,0,0,22,16,16,16,7,7.804016155,B
1188,20,1,3,9.368215354,8,0,1,1,1,23,17,17,17,20,8.251315298,A
1189,20,1,2,10.11643036,23,0,0,1,1,24,17,17,17,19,8.18210126,A
1190,20,0,2,9.985915723,21,1,3,0,0,24,17,17,17,12,8.161912888,A
1191,20,1,1,7.490353463,16,0,2,0,0,22,16,16,16,20,7.562737038,B
1192,20,1,2,9.7512108,13,1,3,0,0,23,17,17,17,10,8.255135266,A
1193,20,0,1,9.181645455,9,0,2,1,1,23,16,16,16,14,8.17782948,A
1194,20,1,1,8.346155213,12,0,2,0,0,22,16,16,16,19,7.860875518,B
1195,20,1,0,8.635369981,11,1,1,1,1,23,16,16,16,14,8.034786069,A
1196,20,1,0,9.665333917,26,0,3,1,1,23,17,17,17,19,8.041605034,A
1197,20,1,4,8.433783132,0,0,1,1,1,22,16,16,16,13,8.148400979,A
1198,20,0,1,8.077357897,27,0,3,1,1,22,16,16,16,16,7.548843426,B
1199,20,1,2,8.477491643,21,0,2,0,0,22,16,16,16,15,7.707086562,B
1200,20,1,3,8.763766013,28,0,3,1,1,23,16,16,16,17,7.709595698,B
1201,20,0,2,7.463592179,18,0,1,0,0,22,16,16,16,15,7.493436544,B
1202,20,1,1,9.836359101,18,0,1,0,0,23,17,17,17,15,8.112277933,A
1203,20,0,2,9.080623163,5,0,3,0,0,23,16,16,16,14,8.244144682,A
1204,20,1,2,8.944229724,12,0,2,1,1,23,16,16,16,20,8.068842881,A
1205,20,0,2,7.164987421,18,0,1,1,1,22,16,16,16,20,7.476564204,B
1206,20,0,2,8.847246461,12,1,4,0,0,23,16,16,16,14,8.056875662,A
1207,20,0,4,7.236535541,26,1,1,1,1,22,16,16,16,13,7.371338995,B
1208,20,0,2,7.095658917,25,0,2,1,1,21,16,16,16,18,7.325527494,B
1209,20,1,1,8.591036319,21,0,1,0,0,23,16,16,16,13,7.721817325,B
1210,20,0,2,8.17595178,20,1,2,1,1,22,16,16,16,18,7.755414169,B
1211,20,1,0,8.796034234,3,0,2,0,0,23,16,16,16,14,8.148291667,A
1212,20,0,3,7.13074056,23,0,1,0,0,22,16,16,16,14,7.305969968,B
1213,20,0,1,8.269943543,1,0,3,1,1,22,16,16,16,16,8.117266817,A
1214,20,0,1,7.415955717,14,1,2,0,0,22,16,16,16,12,7.61749531,B
1215,20,1,3,10.12366695,11,0,3,0,0,24,17,17,17,20,8.362930904,A
1216,20,0,2,8.703834041,29,1,1,1,1,23,16,16,16,11,7.687211349,B
1217,20,1,1,9.124789536,26,1,2,1,1,23,16,16,16,16,7.877948137,B
1218,20,1,2,7.918060936,6,0,0,1,1,22,16,16,16,10,7.877400933,B
1219,20,1,3,7.149129716,19,1,3,0,0,22,16,16,16,12,7.461526266,B
1220,20,1,1,10.08623621,17,0,3,0,0,24,17,17,17,19,8.231561459,A
1221,20,1,3,7.787530118,22,0,3,1,1,22,16,16,16,20,7.632008396,B
1222,20,1,0,8.246027284,12,0,2,0,0,22,16,16,16,11,7.869098741,B
1223,20,1,2,8.999546406,16,0,3,0,0,23,16,16,16,18,7.961761298,B
1224,20,1,3,6.915657659,3,0,3,0,0,21,16,16,16,9,7.662710475,B
1225,20,1,1,9.534197102,24,0,0,1,1,23,17,17,17,11,7.944256489,B
1226,20,0,2,8.6219273,13,0,1,0,0,23,16,16,16,19,7.901414295,B
1227,20,0,1,7.760723957,19,0,2,0,0,22,16,16,16,19,7.570474126,B
1228,20,0,2,7.038693284,27,0,3,0,0,21,16,16,16,7,7.26145124,B
1229,20,0,2,7.374994718,12,1,0,0,0,22,16,16,16,13,7.623861486,B
1230,20,0,2,9.81677953,2,0,3,0,0,23,17,17,17,11,8.493526288,A
1231,20,1,1,9.120080746,25,0,2,0,0,23,16,16,16,20,7.80469147,B
1232,20,1,1,7.666339072,25,0,2,0,0,22,16,16,16,17,7.422442496,B
1233,20,1,0,7.05200255,17,0,1,0,0,21,16,16,16,9,7.443433112,B
1234,20,1,1,9.135384375,13,0,2,0,0,23,16,16,16,20,8.098097878,A
1235,20,1,2,8.741359087,14,0,0,0,0,23,16,16,16,9,7.929705071,B
1236,20,1,3,8.181731748,2,0,0,0,0,22,16,16,16,16,8.037102155,A
1237,20,1,2,8.045371497,0,0,3,0,0,22,16,16,16,10,8.017408897,A
1238,20,0,2,7.556047586,25,1,2,0,0,22,16,16,16,14,7.43804923,B
1239,20,0,4,9.065370855,23,1,2,0,0,23,16,16,16,9,7.858518152,B
1240,20,0,2,10.06889343,16,0,1,1,1,24,17,17,17,15,8.264052315,A
1241,20,0,3,7.419050819,2,1,2,0,0,22,16,16,16,5,7.893758775,B
1242,20,1,2,8.823722067,13,0,0,1,1,23,16,16,16,17,8.036864023,A
1243,20,1,1,8.247283519,2,0,2,0,0,22,16,16,16,8,8.0629777,A
1244,20,1,0,8.322295739,12,1,2,0,0,22,16,16,16,13,7.892733173,B
1245,20,0,2,7.680490934,14,0,2,1,1,22,16,16,16,12,7.685596841,B
1246,20,1,1,9.583782919,17,0,4,0,0,23,17,17,17,13,8.150710673,A
1247,20,1,1,8.450852014,13,0,2,0,0,22,16,16,16,17,7.863872943,B
1248,20,1,2,8.644686174,20,0,2,1,1,23,16,16,16,20,7.832084415,B
1249,20,0,2,7.849203043,25,0,2,0,0,22,16,16,16,15,7.51551871,B
1250,20,1,2,7.439361552,2,0,1,0,0,22,16,16,16,16,7.808487538,B
1251,20,0,1,7.119701294,18,0,3,0,0,22,16,16,16,8,7.465905814,B
1252,20,0,1,9.21373047,7,0,2,1,1,23,17,17,17,11,8.226000507,A
1253,20,0,2,7.487447606,3,1,1,1,1,22,16,16,16,19,7.906911181,B
1254,20,0,4,9.133584514,3,0,3,0,0,23,16,16,16,12,8.24369008,A
1255,20,1,2,8.134588153,18,1,0,0,0,22,16,16,16,20,7.713676693,B
1256,20,0,3,8.219249337,10,0,4,1,1,22,16,16,16,10,7.92511618,B
1257,20,0,2,8.39725832,0,1,3,0,0,22,16,16,16,14,8.165998088,A
1258,20,1,2,8.05902836,7,1,2,0,0,22,16,16,16,7,7.96273581,B
1259,20,1,1,7.168733257,14,0,1,1,1,22,16,16,16,13,7.593350748,B
1260,20,0,2,7.865439367,0,0,1,0,0,22,16,16,16,16,7.958087452,B
1261,20,1,2,9.045781202,6,0,1,1,1,23,16,16,16,14,8.190219467,A
1262,20,0,2,9.052614672,20,1,1,1,1,23,16,16,16,19,7.972600887,B
1263,20,0,2,7.787414357,19,0,2,1,1,22,16,16,16,12,7.663345261,B
1264,20,0,2,8.367008755,19,0,4,0,0,22,16,16,16,9,7.731555132,B
1265,20,0,1,7.478157427,23,0,2,0,0,22,16,16,16,19,7.41790842,B
1266,20,1,2,7.534573605,10,1,3,0,0,22,16,16,16,10,7.736354335,B
1267,20,0,1,6.910156961,26,0,3,0,0,21,16,16,16,19,7.222316606,B
1268,20,1,3,9.8224885,28,0,3,0,0,23,17,17,17,18,7.940151552,B
1269,20,1,1,7.535688884,13,0,0,0,0,22,16,16,16,12,7.643274784,B
1270,20,1,0,7.59177959,21,1,2,0,0,22,16,16,16,7,7.563070243,B
1271,20,1,2,7.765338109,15,0,3,0,0,22,16,16,16,13,7.651984208,B
1272,20,0,2,7.258026906,13,0,3,0,0,22,16,16,16,14,7.56329392,B
1273,20,1,2,9.204773803,11,0,4,0,0,23,17,17,17,11,8.118872495,A
1274,20,0,1,15.34621256,16,0,3,0,0,27,19,19,19,20,9.625637064,A+
1275,20,1,2,7.030923916,13,1,1,0,0,21,16,16,16,16,7.531828883,B
1276,20,1,1,13.56638374,9,0,2,1,1,26,18,18,18,18,9.332629616,A+
1277,20,0,3,12.02230386,23,0,0,1,1,25,18,18,18,17,8.676746339,A
1278,20,0,3,9.389144622,28,1,3,0,0,23,17,17,17,9,7.860592184,B
1279,20,0,2,14.61785552,13,1,2,0,0,27,18,18,18,20,9.529496638,A+
1280,20,1,1,18.77630033,17,0,3,0,0,30,20,20,20,20,9.66,A+
1281,20,1,2,20.76073977,21,0,4,0,0,30,20,20,20,20,9.58,A+
1282,20,0,0,14.67630974,8,1,3,0,0,27,18,18,18,20,9.656822777,A+
1283,20,0,2,11.51764693,16,0,2,1,1,25,17,17,17,14,8.649517143,A
1284,20,0,1,8.725443781,5,1,1,0,0,23,16,16,16,11,8.12170786,A
1285,20,0,3,9.221494724,7,1,3,1,1,23,17,17,17,16,8.350499325,A
1286,20,1,0,12.68041077,25,0,1,0,0,25,18,18,18,19,8.722757239,A
1287,20,0,2,10.93543091,12,1,1,0,0,24,17,17,17,12,8.560954586,A
1288,20,0,2,19.4371148,17,0,1,0,0,30,20,20,20,20,9.66,A+
1289,20,0,2,10.95126283,4,0,2,1,1,24,17,17,17,16,8.745174775,A
1290,20,0,0,11.03136031,5,0,1,0,0,24,17,17,17,14,8.679339388,A
1291,20,1,4,11.18831464,20,1,4,0,0,24,17,17,17,16,8.561912132,A
1292,20,0,2,18.23631438,18,0,4,1,1,29,20,20,20,20,9.64,A+
1293,20,1,2,15.3455961,3,0,4,0,0,27,19,19,19,20,9.897400586,A+
1294,20,0,1,14.77595989,6,1,0,0,0,27,18,18,18,20,9.684887669,A+
1295,20,0,2,10.42000257,3,0,4,0,0,24,17,17,17,11,8.593363524,A
1296,20,1,2,17.94517608,24,0,4,0,0,29,20,20,20,20,9.52,A+
1297,20,0,0,5.818993399,10,1,4,0,0,21,15,15,15,4,7.337198061,B
1298,20,1,1,18.76795601,11,1,3,0,0,30,20,20,20,20,9.78,A+
1299,20,1,3,13.19833177,13,1,3,0,0,26,18,18,18,17,9.218556675,A+
1300,20,0,1,11.41722588,12,1,1,0,0,25,17,17,17,19,8.700987125,A
1301,20,1,1,12.95593548,28,0,3,1,1,26,18,18,18,18,8.80882122,A
1302,20,1,2,15.60424159,9,0,0,1,1,28,19,19,19,20,9.82,A+
1303,20,1,2,5.420795524,17,0,2,0,0,20,15,15,15,6,6.971997737,C
1304,20,1,0,18.77969554,15,0,4,0,0,30,20,20,20,20,9.7,A+
1305,20,1,2,12.17150373,4,0,2,0,0,25,18,18,18,16,9.067311675,A+
1306,20,1,1,10.55725697,7,1,1,0,0,24,17,17,17,17,8.57337586,A
1307,20,1,0,7.372708799,13,0,4,0,0,22,16,16,16,5,7.587317447,B
1308,20,1,0,12.05835027,4,0,4,0,0,25,18,18,18,19,9.069181626,A+
1309,20,0,3,12.94279866,25,0,1,1,1,26,18,18,18,20,8.844305966,A
1310,20,0,1,11.5011708,27,0,3,0,0,25,17,17,17,19,8.448264442,A
1311,20,1,0,15.77915702,23,0,2,1,1,28,19,19,19,20,9.54,A+
1312,20,0,2,11.76950156,7,0,2,0,0,25,17,17,17,15,8.845954202,A
1313,20,1,3,20.17760677,24,0,1,0,0,30,20,20,20,20,9.52,A+
1314,20,1,1,14.54431694,25,0,0,0,0,27,18,18,18,20,9.196098316,A+
1315,20,0,2,17.78299011,5,1,1,0,0,29,20,20,20,20,9.9,A+
1316,20,1,0,6.923314048,15,1,0,0,0,21,16,16,16,19,7.507714857,B
1317,20,1,2,11.402309,27,0,4,0,0,25,17,17,17,19,8.385313615,A
1318,20,1,2,10.46207536,3,1,3,1,1,24,17,17,17,15,8.699694676,A
1319,20,1,2,14.08083715,11,0,3,0,0,26,18,18,18,19,9.389658583,A+
1320,20,0,1,18.61732142,10,0,3,0,0,30,20,20,20,20,9.8,A+
